REC_SEC,REC_DT,TYPE
JKTYRE,2024-08-07,MID
JUNIPER,2024-08-14,MID
NIITMTS,2024-08-21,MID
CELLO,2024-08-17,MID
SIS,2024-08-28,MID
SAREGAMA,2024-08-28,MID
RAINBOW,2024-08-31,MID
REDTAPE,2024-09-04,MID
KARURVYSYA,2024-09-07,MID
KPRMILL,2024-09-11,MID
CREDITACC,2024-09-14,MID
THOMASCOOK,2024-09-18,MID
PFS,2024-08-17,MULTI
JWL,2024-08-24,MULTI
NBCC,2024-08-31,MULTI
BAJAJCON,2024-09-07,MULTI
GRSE,2024-09-14,MULTI
SHANKARA,2024-08-29,MICRO
GPTHEALTH,2024-09-05,MICRO
ADORWELD,2024-09-12,MICRO
IFGLEXPOR,2024-09-19,MICRO
