REC_SEC,REC_DATE,BUY_PRICE,5PCR_UP_DATE,10PCR_UP_DATE
JUNIPER,2024-08-14,391.82,19,N/A
NIITMTS,2024-08-21,470.55,9,22
CELLO,2024-08-17,881.33,N/A,N/A
SIS,2024-08-28,406.75,N/A,N/A
SAREGAMA,2024-08-28,523.20,N/A,N/A
RAINBOW,2024-08-31,1278.65,19,N/A
REDTAPE,2024-09-04,703.00,9,N/A
KARURVYSYA,2024-09-07,218.81,N/A,N/A
KPRMILL,2024-09-11,850.53,8,9
CREDITACC,2024-09-14,1269.40,N/A,N/A
THOMASCOOK,2024-09-18,212.95,N/A,N/A
PFS,2024-08-17,55.39,10,N/A
JWL,2024-08-24,551.00,N/A,N/A
NBCC,2024-08-31,188.55,N/A,N/A
BAJAJCON,2024-09-07,267.10,N/A,N/A
GRSE,2024-09-14,1770.50,N/A,N/A
SHANKARA,2024-08-29,598.95,N/A,N/A
GPTHEALTH,2024-09-05,182.10,7,N/A
ADORWELD,2024-09-12,1358.05,N/A,N/A
IFGLEXPOR,2024-09-19,602.10,N/A,N/A
